date,TRANSACTION_TYPE,TOTAL_TRANSACTIONS,TOTAL_SALES,TOTAL_UNITS,TOTAL_COUPONS,max_temp,min_temp,avg_temp,precipitation,snow_fall,snow_depth
2016-01-01,S,1604,101482.59,8046,769,42,34,38.0,0.0,0.0,0.0
2016-01-02,S,2669,174602.55,13305,1446,40,32,36.0,0.0,0.0,0.0
2016-01-03,S,2298,152357.03,11795,1324,45,35,40.0,0.0,0.0,0.0
2016-01-04,S,1967,109492.91,9075,947,36,14,25.0,0.0,0.0,0.0
2016-01-05,S,1796,108041.47,8424,662,29,11,20.0,0.0,0.0,0.0
2016-01-06,S,1867,110355.05,8896,716,41,25,33.0,0.0,0.0,0.0
2016-01-07,S,1872,101447.95,8668,860,46,31,38.5,0.0,0.0,0.0
2016-01-08,S,1874,105293.55,8676,895,46,31,38.5,0.0,0.0,0.0
2016-01-09,S,2502,161562.68,12686,1245,47,40,43.5,,0.0,0.0
2016-01-10,S,2138,134339.35,10685,930,59,40,49.5,1.8,0.0,0.0
2016-01-11,S,1651,95730.96,8060,721,40,26,33.0,0.0,0.0,0.0
2016-01-12,S,1725,89085.27,7585,735,44,25,34.5,0.0,,0.0
2016-01-13,S,1511,88220.92,7398,705,30,22,26.0,0.0,0.0,0.0
2016-01-14,S,1621,87284.68,7592,734,38,22,30.0,0.0,,0.0
2016-01-15,S,1909,106820.34,8901,945,51,34,42.5,,0.0,0.0
2016-01-16,S,2354,155987.69,12130,1134,52,42,47.0,0.24,0.0,0.0
2016-01-17,S,2116,142511.15,11225,989,42,30,36.0,0.05,0.4,0.0
2016-01-18,S,2281,153107.82,11803,1070,31,18,24.5,,,
2016-01-19,S,1479,85857.46,6982,568,28,16,22.0,0.0,0.0,
2016-01-20,S,1754,96853.72,8263,773,37,27,32.0,0.0,0.0,
2016-01-21,S,1766,99525.37,8511,794,36,26,31.0,0.0,0.0,0.0
2016-01-22,S,1947,118827.49,9334,805,30,21,25.5,0.01,0.2,0.0
2016-01-23,S,97,5855.15,518,39,27,24,25.5,2.31,27.3,6.0
2016-01-24,S,1704,112826.84,9468,680,35,20,27.5,,,22.0
2016-01-25,S,1506,80451.89,7044,584,39,28,33.5,0.0,0.0,19.0
2016-01-26,S,1616,87326.81,8180,686,48,38,43.0,0.0,0.0,17.0
2016-01-27,S,1771,92694.99,8387,664,47,34,40.5,,0.0,9.0
2016-01-28,S,1629,84929.32,7595,689,42,32,37.0,0.0,0.0,6.0
2016-01-29,S,1730,93264.32,7871,711,41,30,35.5,0.0,0.0,6.0
2016-01-30,S,2481,167645.43,13206,1048,39,28,33.5,0.0,0.0,6.0
2016-01-31,S,2119,150350.44,11819,926,56,36,46.0,0.0,0.0,4.0
2016-02-01,S,1638,84701.04,7589,679,59,44,51.5,0.01,0.0,2.0
2016-02-02,S,1659,91196.33,8303,691,50,38,44.0,0.0,0.0,
2016-02-03,S,1312,69528.74,6220,631,59,42,50.5,0.73,0.0,0.0
2016-02-04,S,1722,97765.77,8871,834,59,44,51.5,,0.0,0.0
2016-02-05,S,1543,89688.88,7915,719,44,31,37.5,0.53,2.5,1.0
2016-02-06,S,2283,158785.63,12975,1219,40,30,35.0,0.0,0.0,0.0
2016-02-07,S,2134,128839.73,10868,1128,47,33,40.0,0.0,0.0,0.0
2016-02-08,S,1404,77360.76,7295,588,39,28,33.5,0.05,0.1,0.0
2016-02-09,S,1587,85669.51,7623,766,36,27,31.5,0.0,,
2016-02-10,S,1622,84498.83,7589,791,39,31,35.0,0.01,,0.0
2016-02-11,S,1543,78411.51,7138,688,31,18,24.5,,,0.0
2016-02-12,S,1725,97829.83,7855,936,27,15,21.0,0.0,0.0,0.0
2016-02-13,S,1832,127178.55,10061,1060,22,6,14.0,0.0,0.0,0.0
2016-02-14,S,1546,108570.99,7937,781,15,-1,7.0,0.0,0.0,0.0
2016-02-15,S,1721,112495.77,8917,918,35,13,24.0,0.44,1.4,0.0
2016-02-16,S,1307,69173.74,6365,617,54,35,44.5,1.01,0.0,0.0
2016-02-17,S,1697,99273.37,8509,737,39,35,37.0,0.0,0.0,0.0
2016-02-18,S,1687,85215.62,7971,745,36,27,31.5,0.0,0.0,0.0
2016-02-19,S,1703,87604.75,7794,848,39,24,31.5,0.0,0.0,0.0
2016-02-20,S,2427,143939.68,12589,1271,61,39,50.0,0.0,0.0,0.0
2016-02-21,S,2159,127615.14,11363,1016,55,44,49.5,0.03,0.0,0.0
2016-02-22,S,1729,88683.62,7992,827,52,38,45.0,0.0,0.0,0.0
2016-02-23,S,1279,66262.79,5926,568,40,35,37.5,0.3,,0.0
2016-02-24,S,1200,67250.02,5958,469,60,36,48.0,1.22,0.0,0.0
2016-02-25,S,1548,94383.19,8000,696,61,37,49.0,0.02,0.0,0.0
2016-02-26,S,1658,85199.95,7889,715,39,27,33.0,0.0,0.0,0.0
2016-02-27,S,2288,144983.5,12168,1046,41,26,33.5,0.0,0.0,0.0
2016-02-28,S,2300,145553.9,12381,1005,60,38,49.0,0.0,0.0,0.0
2016-02-29,S,1699,90899.17,8370,665,61,47,54.0,0.05,0.0,0.0
2016-03-01,S,1711,90981.48,8393,609,52,39,45.5,0.0,0.0,0.0
2016-03-02,S,1515,92290.95,8227,549,55,29,42.0,0.14,0.0,0.0
2016-03-03,S,1524,84039.1,7346,582,36,26,31.0,0.0,0.0,0.0
2016-03-04,S,1530,82790.43,7464,496,39,30,34.5,0.11,0.4,
2016-03-05,S,2285,143897.75,12210,822,41,28,34.5,0.0,0.0,0.0
2016-03-06,S,2200,141615.91,12213,790,44,32,38.0,0.0,0.0,0.0
2016-03-07,S,1607,81599.05,7999,546,60,36,48.0,0.0,0.0,0.0
2016-03-08,S,1611,76181.29,7827,643,67,47,57.0,0.0,0.0,0.0
2016-03-09,S,1588,76714.89,7685,662,77,44,60.5,0.0,0.0,0.0
2016-03-10,S,1562,78044.47,7159,672,79,63,71.0,0.0,0.0,0.0
2016-03-11,S,1735,92336.75,8500,662,68,48,58.0,0.06,0.0,0.0
2016-03-12,S,2338,140172.61,12413,867,59,40,49.5,0.0,0.0,0.0
2016-03-13,S,2069,131830.17,11043,804,62,50,56.0,,0.0,0.0
2016-03-14,S,1245,63960.56,6013,449,51,40,45.5,0.29,0.0,0.0
2016-03-15,S,1644,92937.89,8561,724,57,44,50.5,0.0,0.0,0.0
2016-03-16,S,1720,84597.61,8062,799,65,48,56.5,0.02,0.0,0.0
2016-03-17,S,1674,90328.01,8222,846,63,45,54.0,,0.0,0.0
2016-03-18,S,1769,91161.18,8775,797,57,42,49.5,0.0,0.0,0.0
2016-03-19,S,2298,144702.45,12252,1101,46,36,41.0,0.0,0.0,0.0
2016-03-20,S,2051,131094.26,10826,970,43,32,37.5,0.07,,0.0
2016-03-21,S,1674,88840.05,8190,709,50,32,41.0,0.06,0.5,
2016-03-22,S,1687,82463.58,7902,804,56,35,45.5,0.0,0.0,0.0
2016-03-23,S,1618,86038.44,7919,768,71,48,59.5,0.0,0.0,0.0
2016-03-24,S,1711,95142.16,8166,903,55,44,49.5,0.0,0.0,0.0
2016-03-25,S,1909,102502.95,9316,989,72,44,58.0,0.04,0.0,0.0
2016-03-26,S,2289,147667.47,12211,1336,55,38,46.5,0.0,0.0,0.0
2016-03-27,S,1840,117299.4,9527,1009,55,43,49.0,0.0,0.0,0.0
2016-03-28,S,1606,79666.29,7515,776,62,42,52.0,0.38,0.0,0.0
2016-03-29,S,1700,88075.1,7972,787,53,40,46.5,0.0,0.0,0.0
2016-03-30,S,1612,81084.53,7770,878,56,37,46.5,0.0,0.0,0.0
2016-03-31,S,1758,92082.3,8229,947,73,49,61.0,0.0,0.0,0.0
2016-04-01,S,1704,99428.03,8457,910,79,61,70.0,0.02,0.0,0.0
2016-04-02,S,2440,156142.2,13147,1367,61,49,55.0,0.16,0.0,0.0
2016-04-03,S,2120,143845.01,11855,1141,50,34,42.0,0.09,,0.0
2016-04-04,S,1446,72858.81,6664,743,45,29,37.0,0.47,,0.0
2016-04-05,S,1628,87525.3,7918,737,43,26,34.5,0.0,0.0,0.0
2016-04-06,S,1592,80556.5,7397,725,48,30,39.0,0.0,0.0,0.0
2016-04-07,S,1509,76070.72,7147,709,58,48,53.0,0.09,0.0,0.0
2016-04-08,S,1752,92824.9,8173,866,50,40,45.0,0.01,0.0,0.0
2016-04-09,S,2073,134236.64,10901,1088,43,36,39.5,0.11,,0.0
2016-04-10,S,2218,144911.78,11987,1173,50,31,40.5,0.0,0.0,0.0
2016-04-11,S,1668,87597.66,7837,684,65,43,54.0,0.01,0.0,0.0
2016-04-12,S,1613,85331.47,7793,702,59,45,52.0,0.2,0.0,0.0
2016-04-13,S,1684,85375.02,7638,804,58,40,49.0,0.0,0.0,0.0
2016-04-14,S,1680,93474.83,7747,832,62,43,52.5,0.0,0.0,0.0
2016-04-15,S,1880,112390.95,9132,996,65,42,53.5,0.0,0.0,0.0
2016-04-16,S,2366,151064.01,12543,1332,68,43,55.5,0.0,0.0,0.0
2016-04-17,S,2153,144059.52,12023,1259,75,44,59.5,0.0,0.0,0.0
2016-04-18,S,1818,96288.68,8602,944,82,51,66.5,0.0,0.0,0.0
2016-04-19,S,1798,93876.89,8376,961,73,55,64.0,0.0,0.0,0.0
2016-04-20,S,1837,95577.04,8709,994,69,49,59.0,0.0,0.0,0.0
2016-04-21,S,1858,102569.02,9682,999,73,49,61.0,0.0,0.0,0.0
2016-04-22,S,1901,114479.0,9706,962,79,62,70.5,,0.0,0.0
2016-04-23,S,2334,155829.92,12890,1317,71,54,62.5,0.16,0.0,0.0
2016-04-24,S,2350,148499.17,12024,1322,68,47,57.5,0.0,0.0,0.0
2016-04-25,S,1913,93086.09,8625,1016,69,50,59.5,0.0,0.0,0.0
2016-04-26,S,1564,103957.9,7787,639,60,47,53.5,0.24,0.0,0.0
2016-04-27,S,1720,93002.57,8126,790,62,46,54.0,0.0,0.0,0.0
2016-04-28,S,1733,93185.08,8079,797,59,48,53.5,0.0,0.0,0.0
2016-04-29,S,1724,91319.8,8060,889,58,45,51.5,0.05,0.0,0.0
2016-04-30,S,2392,157667.15,12925,1255,65,46,55.5,0.0,0.0,0.0
2016-05-01,S,1934,130287.13,10456,963,51,45,48.0,0.16,0.0,0.0
2016-05-02,S,1882,106155.78,9061,781,60,45,52.5,0.04,0.0,0.0
2016-05-03,S,1617,91342.98,8126,744,56,51,53.5,0.61,0.0,0.0
2016-05-04,S,1639,87390.27,7793,759,52,48,50.0,0.01,0.0,0.0
2016-05-05,S,1781,97960.35,8596,956,57,46,51.5,0.0,0.0,0.0
2016-05-06,S,1662,94099.36,8137,818,54,48,51.0,0.54,0.0,0.0
2016-05-07,S,2420,155314.31,12737,1358,60,48,54.0,0.0,0.0,0.0
2016-05-08,S,2121,124155.25,10551,1130,66,49,57.5,0.16,0.0,0.0
2016-05-09,S,2009,98955.47,8657,1079,72,52,62.0,0.0,0.0,0.0
2016-05-10,S,1731,88344.64,7532,761,63,50,56.5,0.0,0.0,0.0
2016-05-11,S,1837,100467.84,8491,919,76,50,63.0,0.0,0.0,0.0
2016-05-12,S,1857,102995.54,8883,969,80,56,68.0,0.0,0.0,0.0
2016-05-13,S,1637,96315.79,8188,819,65,57,61.0,0.25,0.0,0.0
2016-05-14,S,2543,162205.4,13785,1277,73,56,64.5,0.0,0.0,0.0
2016-05-15,S,2335,173832.43,14053,1163,59,46,52.5,0.0,0.0,0.0
2016-05-16,S,2043,122180.93,10498,951,66,43,54.5,0.0,0.0,0.0
2016-05-17,S,1790,107226.79,9385,890,64,52,58.0,0.0,0.0,0.0
2016-05-18,S,1926,104805.59,9514,964,68,52,60.0,,0.0,0.0
2016-05-19,S,1846,104270.94,9401,978,73,54,63.5,0.0,0.0,0.0
2016-05-20,S,2040,115063.24,10094,1123,76,53,64.5,0.0,0.0,0.0
2016-05-21,S,2287,140668.72,12107,1344,66,54,60.0,0.04,0.0,0.0
2016-05-22,S,2417,162602.05,13576,1314,70,52,61.0,0.09,0.0,0.0
2016-05-23,S,2092,118878.79,10409,1108,78,56,67.0,0.02,0.0,0.0
2016-05-24,S,1888,112697.45,9783,855,73,58,65.5,0.18,0.0,0.0
2016-05-25,S,1944,104791.55,8960,940,88,61,74.5,0.0,0.0,0.0
2016-05-26,S,1908,111372.28,9092,1015,90,69,79.5,0.0,0.0,0.0
2016-05-27,S,2263,149841.89,11370,1218,87,73,80.0,0.0,0.0,0.0
2016-05-28,S,2374,169278.0,12254,1120,92,71,81.5,0.0,0.0,0.0
2016-05-29,S,2263,157896.07,11856,1051,87,70,78.5,,0.0,0.0
2016-05-30,S,2633,184728.43,13186,1310,82,68,75.0,1.65,0.0,0.0
2016-05-31,S,2170,135091.98,11249,992,85,71,78.0,0.0,0.0,0.0
2016-06-01,S,2111,131797.44,10856,868,83,66,74.5,0.0,0.0,0.0
2016-06-02,S,1991,132237.59,10708,975,78,62,70.0,0.0,0.0,0.0
2016-06-03,S,1938,119418.13,10047,854,70,63,66.5,0.04,0.0,0.0
2016-06-04,S,2383,153918.39,12998,1076,83,66,74.5,0.4,0.0,0.0
2016-06-05,S,2054,150754.22,12720,897,71,65,68.0,0.91,0.0,0.0
2016-06-06,S,2094,125785.79,10987,916,83,65,74.0,0.0,0.0,0.0
2016-06-07,S,1952,107376.08,9235,724,85,64,74.5,,0.0,0.0
2016-06-08,S,1571,88816.59,7651,520,67,52,59.5,0.45,0.0,0.0
2016-06-09,S,1914,105512.71,9416,767,71,54,62.5,0.0,0.0,0.0
2016-06-10,S,1974,121829.22,10064,882,77,57,67.0,0.0,0.0,0.0
2016-06-11,S,2367,167532.29,13582,1051,88,59,73.5,0.0,0.0,0.0
2016-06-12,S,2262,147315.29,12247,950,83,62,72.5,0.0,0.0,0.0
2016-06-13,S,1879,107591.93,9565,771,74,57,65.5,0.0,0.0,0.0
2016-06-14,S,1875,107482.53,9433,817,79,58,68.5,0.0,0.0,0.0
2016-06-15,S,1936,109913.78,9661,981,85,62,73.5,0.0,0.0,0.0
2016-06-16,S,1852,106449.34,9689,885,74,65,69.5,0.22,0.0,0.0
2016-06-17,S,2041,121129.45,10524,1018,78,63,70.5,0.0,0.0,0.0
2016-06-18,S,2376,150814.65,12753,1172,87,61,74.0,0.0,0.0,0.0
2016-06-19,S,2145,136159.57,11825,1031,88,66,77.0,0.0,0.0,0.0
2016-06-20,S,1910,110931.1,9622,834,84,64,74.0,0.0,0.0,0.0
2016-06-21,S,1805,111302.38,9436,840,87,72,79.5,,0.0,0.0
2016-06-22,S,1853,112949.53,9733,845,86,68,77.0,0.0,0.0,0.0
2016-06-23,S,1857,101429.7,9169,808,83,69,76.0,0.0,0.0,0.0
2016-06-24,S,2028,126399.09,11066,849,84,67,75.5,0.0,0.0,0.0
2016-06-25,S,2336,155297.84,13129,1032,86,64,75.0,0.0,0.0,0.0
2016-06-26,S,2397,161265.56,13989,972,87,67,77.0,0.0,0.0,0.0
2016-06-27,S,1920,116162.23,9776,769,83,67,75.0,0.45,0.0,0.0
2016-06-28,S,1830,108780.36,9832,654,76,68,72.0,0.12,0.0,0.0
2016-06-29,S,1956,115508.4,10085,821,83,67,75.0,0.01,0.0,0.0
2016-06-30,S,2079,117913.92,10000,942,85,67,76.0,0.0,0.0,0.0
